Alt_Species,Order,Family.name,Family,Common.name,Body.Mass.g,Brain.Mass.g,ReltiveBrainSive.OLSresiduals,RelativeBrainSize.PGLSresiduals,PC1min,PC1max,PC2min,PC2max,Migration,Eggs/year,PercVeg,Pelagic
Emberiza_hortulana,PASSERIFORMES,Emberizidae,"Buntings, American sparrows and allies",Ortolan Bunting,21.075,0.7252,-0.033616962,0.149516646,-1.411766845,0.505489155,-1.102554419,1.571273207,1,4.5,0,0
Emberiza_spodocephala,PASSERIFORMES,Emberizidae,"Buntings, American sparrows and allies",Black-faced Bunting,17.725,0.96348,0.132157075,0.31755342,-1.745418194,0.135411907,-0.808172827,1.458719744,1,9,0,0
Diuca_diuca,PASSERIFORMES,Emberizidae,"Buntings, American sparrows and allies",Common Diuca-finch,36.4,1.32608,0.094680207,0.270575054,-0.388793233,0.725355862,-1.886665162,1.968397028,1,NA,0,0
Euneornis_campestris,PASSERIFORMES,Emberizidae,"Buntings, American sparrows and allies",Orangequit,16.2,0.7252,0.030801507,0.217370699,1.50420317,1.508172586,0.503432933,0.564659637,0,NA,0,0
Coryphospingus_cucullatus,PASSERIFORMES,Emberizidae,"Buntings, American sparrows and allies",Red-crested Finch,14.1,0.69412,0.045774615,0.234158775,0.004061786,1.741424611,-0.229716325,2.005322503,1,NA,0,0
Cissopis_leverianus,PASSERIFORMES,Thraupidae,Tanagers,Magpie Tanager,78.7,1.77156,0.031656338,0.197094345,0.389466903,1.600363123,-0.229716325,2.583464478,0,NA,0,0
Dacnis_cayana,PASSERIFORMES,Thraupidae,Tanagers,Blue Dacnis,12.875,0.5698,-0.017682263,0.171925986,0.322032735,1.84070399,-0.601967781,2.583464478,0,NA,10,0
Cyanerpes_cyaneus,PASSERIFORMES,Thraupidae,Tanagers,Red-legged Honeycreeper,14,0.5698,-0.038194671,0.150285348,0.264290447,1.84070399,-1.307745222,2.583464478,1,2,0,0
Chlorospingus_ophthalmicus,PASSERIFORMES,Thraupidae,Tanagers,Common Bush-tanager,23.1,1.01528,0.090045802,0.271967762,0.276982336,1.616895466,-0.320611559,2.393821171,0,3,0,0
Chlorothraupis_carmioli,PASSERIFORMES,Cardinalidae,"Grosbeaks, saltators and allies",Olive Tanager,38.95,1.3468,0.084833703,0.259836005,0.784475683,1.725211957,-0.320611559,2.201020262,0,NA,0,0
Euphonia_jamaica,PASSERIFORMES,Thraupidae,Tanagers,Jamaican Euphonia,16.8,0.6734,-0.010288381,0.175817894,1.50420317,1.508172586,0.503432933,0.564659637,0,NA,0,0
Chlorophonia_cyanea,PASSERIFORMES,Thraupidae,Tanagers,Blue-naped Chlorophonia,14,0.63196,0.006772474,0.195252493,0.305904159,1.785507433,-0.401791416,2.554836153,0,NA,0,0
Lipaugus_vociferans,PASSERIFORMES,Cotingidae,Cotingas,Screaming Piha,75.1,1.68868,0.0223131,0.188399452,0.796610107,1.741424611,-0.094931505,2.583464478,0,NA,0,0
Gymnoderus_foetidus,PASSERIFORMES,Cotingidae,Cotingas,Bare-necked Fruitcrow,277,3.65708,0.038301659,0.18703061,0.791137144,1.741424611,-0.116998393,2.158818723,0,NA,0,0
Hymenops_perspicillatus,PASSERIFORMES,Tyrannidae,Tyrant-flycatchers,Spectacled Tyrant,22.925,0.78736,-0.018504573,0.163517561,-0.388793233,0.764174847,-1.886665162,2.036883865,1,NA,0,0
Machetornis_rixosa,PASSERIFORMES,Tyrannidae,Tyrant-flycatchers,Cattle Tyrant,30.3,0.99456,0.014655078,0.19298029,0.009494142,1.768393557,-0.601967781,1.973508126,0,NA,0,0
Legatus_leucophaius,PASSERIFORMES,Tyrannidae,Tyrant-flycatchers,Piratic Flycatcher,22.5,0.68376,-0.075192121,0.107076512,0.286231869,1.84070399,-0.759645496,2.583464478,1,NA,0,0
Formicivora_grisea,PASSERIFORMES,Thamnophilidae,Antbirds,White-fringed Antwren,10.4,0.4662,-0.052558013,0.139785105,0.726147933,1.768393557,-0.601967781,2.583464478,0,NA,0,0
Hypocnemis_cantator,PASSERIFORMES,Thamnophilidae,Antbirds,Guianan Warbling-antbird,12.3,0.65268,0.052483086,0.242699183,0.945183788,1.538633874,0.169785357,1.572526461,0,NA,0,0
Gymnopithys_leucaspis,PASSERIFORMES,Thamnophilidae,Antbirds,Bicoloured Antbird,28.43333333,0.78736,-0.071232615,0.107937294,0.933511008,1.84070399,0.029576538,2.554836153,0,NA,0,0
Hylophylax_naevius,PASSERIFORMES,Thamnophilidae,Antbirds,Spot-backed Antbird,14.2,0.61124,-0.011178686,0.177110291,0.784475683,1.678365846,0.108127262,2.583464478,0,NA,0,0
Formicarius_colma,PASSERIFORMES,Formicariidae,Antthrushes and antpittas,Rufous-capped Antthrush,47.25,1.11888,-0.042987637,0.129435243,0.372874349,1.741424611,-0.07089173,2.583464478,0,NA,0,0
Formicarius_analis,PASSERIFORMES,Formicariidae,Antthrushes and antpittas,Black-faced Antthrush,61.925,1.3468,-0.028697309,0.14003952,0.403409709,1.84070399,-0.589242603,2.528345277,0,NA,0,0
Grallaria_quitensis,PASSERIFORMES,Formicariidae,Antthrushes and antpittas,Tawny Antpitta,65.8,2.1238,0.154250838,0.32216161,0.953398923,1.485762321,0.748015625,1.810041682,0,NA,0,0
Furnarius_rufus,PASSERIFORMES,Furnariidae,Ovenbirds,Rufous Hornero,45,1.37788,0.059387308,0.232464143,-0.171723954,1.488057274,-0.45539979,1.753949934,0,NA,0,0
Glyphorynchus_spirurus,PASSERIFORMES,Dendrocolaptidae,Woodcreepers,Wedge-billed Woodcreeper,14.55,0.64232,0.004398739,0.192359779,0.654502357,1.84070399,-0.22191952,2.583464478,0,NA,0,0
Lepidocolaptes_souleyetii,PASSERIFORMES,Dendrocolaptidae,Woodcreepers,Streak-headed Woodcreeper,25.7,1.07744,0.08973604,0.270229678,0.403409709,1.84070399,-1.307745222,2.110069779,0,NA,0,0
Lepidocolaptes_affinis,PASSERIFORMES,Dendrocolaptidae,Woodcreepers,Spot-crowned Woodcreeper,35,1.17068,0.050152505,0.2265621,0.149700604,1.544214224,-0.316134015,1.344349664,0,NA,0,0
Lichenostomus_chrysops,PASSERIFORMES,Meliphagidae,Honeyeaters,Yellow-faced Honeyeater,16.525,0.74592,0.038172153,0.224487567,0.004078449,1.228031727,-0.651467716,1.027321587,0,NA,0,0
Lichenostomus_virescens,PASSERIFORMES,Meliphagidae,Honeyeaters,Singing Honeyeater,24,0.95312,0.053248472,0.234666952,-0.00081338,1.694831142,-1.312859496,1.027321587,0,NA,0,0
Lichenostomus_flavus,PASSERIFORMES,Meliphagidae,Honeyeaters,Yellow Honeyeater,22,0.73556,-0.037974866,0.144589797,0.593890786,1.720898875,-0.712612699,0.211576031,0,NA,0,0
Lichenostomus_leucotis,PASSERIFORMES,Meliphagidae,Honeyeaters,White-eared Honeyeater,23.525,0.92204,0.043745561,0.225427367,0.007515454,0.720309512,-0.988768421,1.027321587,0,NA,0,0
Lichenostomus_melanops,PASSERIFORMES,Meliphagidae,Honeyeaters,Yellow-tufted Honeyeater,31.85,0.95312,-0.016044619,0.161616304,0.016503922,0.648451414,-0.588264111,1.027321587,0,NA,0,0
Lichenostomus_keartlandi,PASSERIFORMES,Meliphagidae,Honeyeaters,Grey-headed Honeyeater,15.25,0.71484,0.039350245,0.226692372,0.042337403,1.459616821,-1.312859496,-0.265171173,0,NA,0,0
Lichenostomus_flavescens,PASSERIFORMES,Meliphagidae,Honeyeaters,Yellow-tinted Honeyeater,12.7,0.53872,-0.038690505,0.151102063,0.635894056,1.702990607,-0.979124994,0.840585842,0,NA,0,0
Lichenostomus_ornatus,PASSERIFORMES,Meliphagidae,Honeyeaters,Yellow-plumed Honeyeater,17.275,0.777,0.045032295,0.230770248,0.007515454,0.776121877,-0.777858355,0.818615498,0,NA,10,0
Lichenostomus_penicillatus,PASSERIFORMES,Meliphagidae,Honeyeaters,White-plumed Honeyeater,19.8,0.85988,0.055644101,0.23961837,-0.00081338,1.400922747,-1.312859496,1.027321587,0,NA,10,0
Lichmera_indistincta,PASSERIFORMES,Meliphagidae,Honeyeaters,Brown Honeyeater,10.8,0.52836,-0.007441679,0.184423027,0.018112242,1.720898875,-1.312859496,1.265670396,0,NA,0,0
Gerygone_flavolateralis,PASSERIFORMES,Acanthizidae,Thornbills and gerygones,Fan-tailed Gerygone,6.15,0.35224,-0.04565027,0.15346987,1.13057385,1.619447267,-0.085944094,0.69268153,0,NA,0,0
Laniarius_erythrogaster,PASSERIFORMES,Malaconotidae,"Helmetshrikes, bushshrikes and puffbacks",Black-headed Gonolek,47.5,1.61616,0.115421033,0.28777381,0.586652281,1.322074766,-2.003889982,1.499804523,0,NA,0,0
Gymnorhina_tibicen,PASSERIFORMES,Cracticidae,Butcherbirds,Australian Magpie,290.5,4.8174,0.146327689,0.294439751,-0.029399488,1.719377461,-1.312859496,2.016574111,0,4,0,0
Falcunculus_frontatus,PASSERIFORMES,Falcunculidae,Shrike-tits,Crested Shrike-tit,28.1,1.28464,0.144263084,0.32358965,0.016503922,1.694831142,-0.508655376,1.027321587,0,NA,0,0
Lanius_collurio,PASSERIFORMES,Laniidae,Shrikes,Red-backed Shrike,28.75,0.99456,0.027512986,0.206535762,-1.712998518,0.581314286,-1.333781616,1.597691057,1,5.5,0,0
Lanius_cristatus,PASSERIFORMES,Laniidae,Shrikes,Brown Shrike,31.975,1.0878,0.040397721,0.218006023,-1.805495559,0.684985831,-1.249133504,1.576628944,1,NA,0,0
Lanius_ludovicianus,PASSERIFORMES,Laniidae,Shrikes,Loggerhead Shrike,47.225,1.58508,0.108409632,0.280839542,-1.282201587,1.421879974,-1.736394699,1.067846759,1,10,0,0
Lanius_senator,PASSERIFORMES,Laniidae,Shrikes,Woodchat Shrike,36,1.10852,0.019559745,0.195596348,-0.656896898,0.609331481,-2.220434253,1.416991638,1,8.025,0,0
Hypothymis_azurea,PASSERIFORMES,Monarchidae,Monarchs,Black-naped Monarch,11.15,0.53872,-0.006818117,0.184642295,-0.237011954,1.877827657,-1.900885153,2.124589999,0,NA,0,0
Grallina_cyanoleuca,PASSERIFORMES,Monarchidae,Monarchs,Magpie-lark,79.9,1.74048,0.020264024,0.185500603,-0.00081338,1.789849137,-1.312859496,1.027321587,0,7,0,0
Lycocorax_pyrrhopterus,PASSERIFORMES,Paradisaeidae,Birds of paradise,Paradise-crow,285.5,4.96244,0.163461505,0.311789348,1.728220533,1.730626845,1.437504115,1.466757623,0,NA,0,0
Hirundo_rustica,PASSERIFORMES,Hirundinidae,Swallows and martins,Barn Swallow,19,0.5698,-0.112972298,0.071520284,-1.787822072,1.460813641,-2.555438932,1.762712114,1,8.091,0,0
Hirundo_neoxena,PASSERIFORMES,Hirundinidae,Swallows and martins,Welcome Swallow,15,0.49728,-0.114210142,0.073343399,-0.029399488,1.361852962,-1.312859496,2.104926754,1,8.75,0,0
Hirundo_nigricans,PASSERIFORMES,Hirundinidae,Swallows and martins,Tree Martin,15.4,0.53872,-0.085892253,0.101324683,-0.00081338,1.789849137,-1.312859496,1.572906852,1,NA,0,0
